TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT,IS_PRIMARY_KEY
dbo,log1040NR,fcurTotalAdditionalIncome,66,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalECI,67,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalAdjustments,68,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurGrantsOrScholarshipsExcld,69,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalAdjustmentsToIncome,70,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurAGI,71,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalItemizedDeductions,72,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurQualifiedBusinessIncomeDed,73,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalQualifiedBusIncomeDed,74,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalAdditionalDeductions,75,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalDeductions,76,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTaxableIncome,77,money,NULL,NO,NULL,NO
dbo,log1040NR,fstrScheduleQCode,78,nvarchar,5,NO,NULL,NO
dbo,log1040NR,fcurTax,79,money,NULL,NO,NULL,NO
dbo,log1040NR,fstrCanadaIncomeTaxTreatyCode,80,nvarchar,20,NO,NULL,NO
dbo,log1040NR,fblnForm8814,81,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnForm4972,82,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnOtherIncomeAmounts,83,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fcurAdditionalTax,84,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalTaxBeforeCrAndOthTax,85,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurCTCODC,86,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalNonrefundableCredits,87,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalCredits,88,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTaxLessCredits,89,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurIncomeNotUS54,90,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalOtherTaxes,91,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalUSSourceGrossTransInc,92,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalNECTransOtherTax,93,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalTax,94,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurFormW2TaxWithheld,95,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurForm1099TaxWithheld,96,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurOtherFormsTaxWithheld,97,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurWithholdingTax,98,money,NULL,NO,NULL,NO
dbo,log1040NR,fcur8825Withholding,99,money,NULL,NO,NULL,NO
dbo,log1040NR,fcur8288AWithholding,100,money,NULL,NO,NULL,NO
dbo,log1040NR,fcur1042SWithholding,101,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurEstimatedTaxPayments,102,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurAdditionalChildTaxCredit,103,money,NULL,NO,NULL,NO
dbo,log1040NR,fstrPriorYearEarnedIncomeCode,104,nvarchar,4,NO,NULL,NO
dbo,log1040NR,fcurPriorYearEarnedIncome,105,money,NULL,NO,NULL,NO
dbo,log1040NR,fblnDoNotClaimACTC,106,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fcurAmtpaidWithForm1040C,107,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurRefundableAdoptionCredit,108,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalOtherPymtsRfdblCredit,109,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurRefundableCredits,110,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTotalPayments,111,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurOverpayment,112,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurRefund,113,money,NULL,NO,NULL,NO
dbo,log1040NR,fblnForm8888,114,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fstrRoutingTransitNumber,115,nvarchar,9,NO,NULL,NO
dbo,log1040NR,fstrBankAccountTypeCd,116,nvarchar,1,NO,NULL,NO
dbo,log1040NR,fstrDepositorAccountNum,117,nvarchar,17,NO,NULL,NO
dbo,log1040NR,fstrSMAAddressLine1,118,nvarchar,35,NO,NULL,NO
dbo,log1040NR,fstrSMAAddressLine2,119,nvarchar,35,NO,NULL,NO
dbo,log1040NR,fstrSMACity,120,nvarchar,22,NO,NULL,NO
dbo,log1040NR,fstrSMAState,121,nvarchar,2,NO,NULL,NO
dbo,log1040NR,fstrSMAZipCode,122,nvarchar,12,NO,NULL,NO
dbo,log1040NR,fstrSMAForeignAddressLine1,123,nvarchar,35,NO,NULL,NO
dbo,log1040NR,fstrSMAForeignAddressLine2,124,nvarchar,35,NO,NULL,NO
dbo,log1040NR,fstrSMAForeignCity,125,nvarchar,50,NO,NULL,NO
dbo,log1040NR,fstrSMAForeignCountry,126,nvarchar,2,NO,NULL,NO
dbo,log1040NR,fstrSMAForeignZipCode,127,nvarchar,16,NO,NULL,NO
dbo,log1040NR,fstrSMAForeignState,128,nvarchar,17,NO,NULL,NO
dbo,log1040NR,fcurAppliedToEsTax,129,money,NULL,NO,NULL,NO
